,513FC31103.pv,513HC31114-5.mv,513PC31201.pv,513LC31202.pv,513FC31409.pv,513FC31114-5.pv,513TC31220.pv,MFR
04-11-18 9:45,25104.814,0.206,30.961529,78.825134,49932.973,0.12753731,79.39357,13.3
04-11-18 11:45,25426.408,0.20100001,31.071625,79.599854,62783.203,0.11815974,79.693787,12.4
04-11-18 13:45,24454.818,0.20100001,30.888227,79.345535,51638.074,0.12652969,79.532349,12.2
04-11-18 15:45,25939.582,0.204,30.953676,78.971817,52309.848,0.111949004,78.49781,11.7
04-11-18 17:45,26234.992,0.204,31.113579,79.224541,55224.41,0.12978029,79.030815,12.4
04-11-18 19:45,25246.051,0.204,30.921301,79.756332,53238.996,0.130410268,79.02858,12.9
04-11-18 21:45,24376.855,0.205,31.043097,78.902878,53836.129,0.12009827,79.096809,12.5
04-11-18 23:45,24909.457,0.205,31.256199,80.25412,50212.398,0.12037004,79.182579,12.5
04-12-18 1:45,25974.152,0.205,31.194237,79.506783,49437.961,0.11500141,79.055809,12.7
04-12-18 3:45,25977.535,0.205,30.771679,79.495544,50631.594,0.097181812,78.767387,13.1
04-12-18 5:45,24324.615,0.208,31.021935,78.874519,44281.188,0.10038478,78.762932,13
04-12-18 7:45,24396.775,0.208,31.209105,79.810692,46727.371,0.12610203,78.96405,13.2
04-12-18 11:45,27006.23,0.212,31.139284,78.875732,49853.02,0.092865221,78.34491,12.4
04-12-18 13:45,25461.234,0.212,30.980213,79.982819,59730.723,0.12488738,79.469246,12.4
04-12-18 15:45,24502.424,0.21600001,31.098597,78.360603,44114.648,0.12428617,78.364441,12.6
04-12-18 17:45,25343.02,0.21600001,31.142481,78.133011,44614.813,0.118181725,78.120087,12.7
04-12-18 19:45,25418.967,0.21600001,31.155743,79.48645,51866.457,0.094911464,79.257072,12.9
04-12-18 21:45,25126.109,0.21600001,31.058388,79.1521,43538.535,0.10849795,78.815453,12.9
04-12-18 23:45,24567.488,0.21600001,31.174828,79.917152,57710.199,0.10263614,79.637192,12.7
4/13/2018 1:45,24713.605,0.21600001,31.009356,78.763794,46082.543,0.11624599,78.710854,12.7
4/13/2018 3:45,25740.078,0.21600001,30.889542,79.32869,51423.008,0.1083466,79.163925,12.9
4/13/2018 5:45,26177.689,0.21600001,30.950222,78.529495,51837.781,0.11403682,78.770859,13.3
4/13/2018 7:45,25975.295,0.21600001,30.980505,79.071014,55109.363,0.11088846,79.078285,12.9
4/13/2018 9:45,24439.381,0.22,31.17239,78.570992,59715.82,0.11545179,79.215279,13.1
4/13/2018 11:45,25920.695,0.22,31.139593,78.871674,59966.145,0.123609877,78.887527,11.9
4/13/2018 13:45,25835.41,0.22,30.895008,78.957237,48907.598,0.115794,78.622086,11.5
4/13/2018 15:45,25867.793,0.16500001,30.977196,77.899673,52024.035,0.10274893,78.698166,12.1
4/13/2018 17:45,26108.578,0.16500001,30.45578,79.044258,53482.164,0.104974583,79.176552,12
4/13/2018 19:45,24820.811,0.16,30.886625,78.358078,54050.352,0.1055746,78.713531,13
4/13/2018 21:45,24554.834,0.155,30.910177,79.043587,45115.184,0.099112801,79.163712,13.7
4/13/2018 22:45,25699.795,0.155,30.49283,78.777924,47721.195,0.097478643,78.94651,13.6
4/13/2018 23:45,25456.49,0.156,30.864258,78.966667,48737.863,0.11115007,79.137932,13.8
4/14/2018 0:45,25325.621,0.156,30.82675,79.650116,54765.066,0.10181022,79.420914,13.6
4/14/2018 1:45,24535.92,0.156,30.985785,79.375999,48079.707,0.08655747,79.054199,13.1
4/14/2018 3:45,24563.744,0.164,30.683701,79.844437,45489.965,0.10114926,79.465729,12
4/14/2018 5:45,24151.059,0.168,30.944498,79.613297,56320.723,0.11238101,79.741478,10.8
4/14/2018 7:45,24631.32,0.168,31.220398,79.56469,50353.574,0.10446823,79.263557,9.8
4/14/2018 9:45,25151.607,0.168,30.851288,78.710335,50185.547,0.12624359,79.004036,9.7
4/14/2018 11:45,25052.412,0,30.913084,78.631546,50274.656,0.11433777,78.917397,9.4
4/14/2018 13:45,24373.393,0.168,31.031395,78.837372,54510.707,0.10887863,79.194687,9.3
4/14/2018 15:45,24281.705,0.16599999,31.077436,79.583542,48200.477,0.11857532,79.291832,9.2
4/14/2018 17:45,24236.234,0.16,31.152405,79.314034,50881.742,0.096723124,78.950462,10
4/14/2018 19:45,24651.143,0.16,30.948683,79.111008,43731.105,0.102337308,78.801323,10.6
4/14/2018 21:45,24127.824,0.164,30.731451,78.518562,38005.289,0.102320442,78.460403,10.9
4/14/2018 23:45,24982.307,0.167,30.458,79.321312,53345.719,0.10958964,79.929573,11.5
4/15/2018 1:45,25246.67,0.167,30.384064,78.595619,46397.668,0.10905875,78.832253,10.5
4/15/2018 3:45,25326.949,0.17,30.502342,79.46476,57858.156,0.13072908,79.775589,10.7
4/15/2018 5:45,24884.434,0.167,30.103756,79.399605,49010.258,0.12518921,78.773048,9.9
4/15/2018 6:45,24449.438,0.167,29.884541,79.023026,50193.297,0.11714,79.289291,9.7
4/15/2018 7:45,25078.002,0.167,30.402802,79.295403,54776.238,0.11244067,79.293007,9.7
4/15/2018 9:45,24828.418,0.167,30.610855,79.484818,50523.797,0.090897612,79.078484,10.1
4/15/2018 11:45,24464.445,0.167,30.715239,78.036369,50144.301,0.091057092,78.905472,9.9
4/15/2018 13:45,24092.492,0.164,30.70389,78.405815,41207.863,0.092129633,78.640022,10.6
4/15/2018 15:45,23973.686,0.162,30.85788,79.514999,52710.156,0.11338042,79.656929,10.6
4/15/2018 17:45,24361.959,0.162,31.026379,79.607162,59976.484,0.117620086,79.988564,11.3
4/15/2018 19:45,25231.383,0.162,30.757677,79.149475,47748.188,0.108792407,78.692459,11.3
4/15/2018 21:45,25485.908,0.162,30.701181,78.305519,47778.809,0.12219422,78.662918,11.5
4/15/2018 23:45,25312.598,0.162,30.517839,78.62574,57938.738,0.10771272,79.290848,11.3
4/16/2018 1:45,24502.355,0.162,30.59693,79.040077,47346.402,0.10099478,78.717979,11
4/16/2018 3:45,23629.781,0.162,30.72069,78.496613,49163.945,0.114705062,78.980743,11
4/16/2018 5:45,24260.035,0.15899999,30.973345,78.679077,52341.137,0.094728723,78.709969,10.6
4/16/2018 7:45,24331.24,0.15899999,30.754457,78.922394,54064.195,0.100410781,79.472321,10.7
4/16/2018 8:45,24674.66,0.15899999,31.294035,78.792282,40721.125,0.097503275,78.368752,11.1
4/16/2018 9:45,23977.221,0.15899999,30.942822,79.36969,51578.633,0.098424777,79.383636,11
4/16/2018 11:45,24244.539,0.15899999,30.931238,79.105293,47808.012,0.10663302,79.549713,11
4/16/2018 13:45,24190.813,0.15899999,31.178301,79.102959,47411.887,0.096839984,78.718651,10.7
4/16/2018 15:45,23672.246,0.168,31.280087,78.566414,44373.145,0.086553206,78.460403,10.6
4/16/2018 17:45,24388.102,0.168,30.233936,78.241272,46591.648,0.133881544,79.830559,10.6
4/16/2018 18:45,25536.309,0.168,30.324814,77.477303,40731.406,0.13033012,79.497864,9.7
4/16/2018 19:45,26987.021,0.168,30.651766,78.217773,35638.672,0.115337433,79.285385,8.3
4/16/2018 20:45,27207.305,0.168,31.879164,79.785637,45360.293,0.022161778,79.640152,7.4
4/16/2018 21:45,22927.59,0.168,30.74365,78.534035,37546.297,0.155522273,80.157494,5.9
4/16/2018 22:45,23504.576,0.168,31.045683,78.942802,41530.363,0.19181603,80.854225,5.2
4/16/2018 23:45,28146.145,0.168,30.52972,79.362411,49567.73,0.16470547,81.111755,4.6
4/17/2018 0:45,27003.668,0.168,30.57653,78.84304,46551.984,0.17709333,80.082573,3.2
4/17/2018 1:45,27529.855,0.168,30.454952,79.040016,48456.141,0.17213176,80.078339,3
4/17/2018 3:45,27207.914,0.171,30.594612,78.66243,41498.109,0.161202115,79.389,3
4/17/2018 5:45,26954.715,0.164,30.589647,78.726295,43476.355,0.15239984,79.801735,3.2
4/17/2018 7:45,26962.283,0.15000001,30.683523,79.313583,46197.359,0.1403337,80.208534,3
4/17/2018 9:45,26795.068,0.15000001,30.624996,79.618225,50011.273,0.155161135,80.080887,3
4/17/2018 10:45,26657.645,0.15000001,30.402447,78.487076,45374.793,0.1523795,79.534615,3.2
4/17/2018 11:45,26632.311,0.145,30.571688,78.933716,50790.203,0.145521336,79.713074,3.3
4/17/2018 12:45,27052.791,0.145,30.157181,79.490555,47188.277,0.13635556,79.532944,3.2
4/17/2018 13:45,27393.805,0.145,30.509426,78.754623,40061.598,0.164830253,79.066544,3.2
4/17/2018 14:45,27566.887,0.14,30.6066,79.03981,48573.125,0.1290718,79.391464,3.6
4/17/2018 15:45,27735.264,0.13,30.414541,79.142235,53026.59,0.156956393,79.638412,3.6
4/17/2018 17:45,27344.83,0.13,30.388,79.054977,44108.211,0.13580203,79.189346,4.2
4/17/2018 19:45,27221.557,0.14,30.402943,78.707199,45271.078,0.151729147,79.400993,4.5
4/17/2018 21:45,28026.613,0.14,30.547308,78.943939,48240,0.16381615,79.400337,4.2
4/17/2018 23:45,28431.25,0.14,30.471977,79.094131,53712.52,0.15661718,79.526764,4.1
4/18/2018 1:45,28621.432,0.14,30.72316,78.893112,57918.621,0.15340473,79.557747,4
4/18/2018 3:45,25574.018,0.13,30.408237,77.365288,40378.758,0.12211666,79.175537,4
4/18/2018 5:45,25190.635,0.105,29.589582,78.488747,28621.928,0.091794848,79.532875,3.6
4/18/2018 7:45,23098.844,0.105,30.785463,78.349541,9610.4648,0.07079044,79.336433,4.3
4/18/2018 9:45,21111.586,0.115,30.530092,79.667152,17088.703,0.092650384,79.821152,4.5
4/18/2018 11:45,23108.734,0.115,30.330564,79.275345,26848.545,0.099032216,80.552147,4.3
4/18/2018 13:45,23389.305,0.127,30.526196,78.834801,30057.205,0.159151139,79.946548,3.6
4/18/2018 14:45,24042.57,0.127,30.404671,78.682892,36651.211,0.11561077,80.229095,3.2
4/18/2018 15:45,24397.914,0.127,30.478027,78.712746,37211.875,0.1299953,79.970398,3.2
4/18/2018 16:45,24534.801,0.12,30.5054,78.876129,39587.621,0.10622367,79.710785,3.2
4/18/2018 17:45,23704.434,0.115,30.503988,78.956451,34520.762,0.095794857,79.740685,3.3
4/18/2018 18:45,24654.594,0.122,30.421886,79.277054,40136.098,0.10582955,80.129974,3.4
4/18/2018 19:45,23797.258,0.122,30.820688,78.253479,26741.693,0.078145437,79.420006,3.6
4/18/2018 21:45,24463.988,0.122,30.425369,78.675102,37321.52,0.10902497,80.226868,3.7
4/18/2018 23:45,25380.17,0.122,30.387211,78.846268,36987.887,0.11937393,79.731377,3.5
4/19/2018 1:45,24628.842,0.126,30.470161,78.599014,33601.055,0.12036794,79.68541,3.5
4/19/2018 3:45,25607.479,0.124,30.397696,80.361786,52468.516,0.106196352,81.173027,3.1
4/19/2018 5:45,25733.867,0.122,30.756969,78.963699,48687.727,0.107737441,80.000908,3.8
4/19/2018 7:45,24948.422,0.119,30.330454,79.426498,34364.297,0.093192682,80.01973,4
4/19/2018 9:45,24585.375,0.119,30.494165,78.547768,40952.207,0.10260703,79.861,4.1
4/19/2018 11:45,24787.375,0.119,30.630642,79.817604,46351.395,0.086770698,80.208557,3.9
4/19/2018 13:45,24647.338,0.119,30.50983,78.128242,40595.133,0.099421464,79.914665,3.9
4/19/2018 15:45,24783.156,0.119,30.637648,79.636925,41954.355,0.105070669,79.975128,3.9
4/19/2018 17:45,24845.178,0.119,30.396149,77.79673,32308.264,0.082702622,79.49762,3.9
4/19/2018 19:45,24564.184,0.121,30.724516,79.859245,44660.793,0.095400229,80.659813,4
4/19/2018 21:45,24776.689,0.121,30.658985,78.908997,36828.199,0.108723959,80.26252,3.7
4/19/2018 23:45,24852.412,0.124,30.968761,78.692566,33058.133,0.10899667,79.357956,3.7
4/20/2018 1:45,24996.02,0.125,30.312984,78.082245,27789.66,0.110074081,79.688545,3.7
4/20/2018 3:45,24724.938,0.125,30.484735,77.993057,33970.168,0.10011998,79.747261,3.5
4/20/2018 4:45,24678.357,0.125,30.585995,80.013992,32198.576,0.10416361,80.249146,3.5
4/20/2018 5:45,24713.27,0.126,30.565039,78.759422,33463.672,0.115394628,79.900269,3.5
4/20/2018 7:45,25541.07,0.126,30.549755,79.345329,42895.098,0.118501808,80.599899,3.4
4/20/2018 9:45,26034.922,0.124,30.684589,79.489113,53389.625,0.11718356,80.321457,3.5
4/20/2018 10:45,25349.727,0.122,30.066185,79.986938,54775.797,0.107443221,80.178246,3.5
4/20/2018 11:45,25817.414,0.122,30.173328,78.100372,36324.543,0.094672976,79.381584,3.5
4/20/2018 13:45,25046.996,0.12,30.384594,78.911606,33528.035,0.10794102,79.768822,4.1
4/20/2018 15:45,24908.893,0.124,30.362202,78.111687,29114.914,0.10177255,79.809334,4.5
4/20/2018 17:45,26189.229,0.124,30.584152,78.820839,34099.043,0.127454936,79.803665,4.5
4/20/2018 18:45,26128.318,0.124,30.446434,78.603912,33893.117,0.10596509,79.698471,4.7
4/20/2018 19:45,25990.098,0.13,30.484968,79.922791,51844.352,0.115655645,80.681046,4.5
4/20/2018 20:45,25992.98,0.127,30.586782,77.871788,30914.383,0.096092992,79.406807,4.4
4/20/2018 21:45,26045.803,0.13,30.599648,79.381195,39538.918,0.11186907,80.181343,4.3
4/20/2018 22:45,25740.016,0.127,30.508812,79.396072,33543.598,0.098363496,80.026093,3.9
4/20/2018 23:45,25897.986,0.127,30.510517,79.165756,36304.621,0.13394468,80.056595,3.7
4/21/2018 0:45,25710.771,0.127,30.461111,79.806786,31032.41,0.10105618,79.76815,3.4
4/21/2018 1:45,25520.748,0.127,30.482052,79.358871,40523.902,0.11360332,80.353607,3.4
4/21/2018 3:45,24991.061,0.13,30.637899,79.537369,35878.371,0.10395743,80.267128,3.2
4/21/2018 5:45,25241.617,0.125,30.524027,79.731651,35786.469,0.10953557,80.076302,3.1
4/21/2018 7:45,25282.514,0.125,30.558527,78.681763,32904.281,0.11641394,79.68956,3.4
4/21/2018 9:45,25020.375,0.126,30.484512,79.43087,39857.75,0.10083856,80.479919,3.3
4/21/2018 11:45,24449.742,0.126,30.618206,78.886063,35236.285,0.10728956,79.937721,3.3
4/21/2018 13:45,24242.232,0.126,30.658382,79.372322,38610.297,0.10643148,80.215355,3.6
4/21/2018 15:45,24784.813,0.126,30.550425,79.10836,33639.242,0.093516842,79.963028,3.8
4/21/2018 17:45,24798.008,0.126,30.476486,78.946632,36106.801,0.108220605,79.932472,3.7
4/21/2018 19:45,24910.227,0.126,30.540318,79.295395,38543.766,0.0990972,80.241493,3.8
4/21/2018 21:45,25325.426,0.126,30.580118,79.167076,32920.242,0.08752802,79.690605,3.9
4/21/2018 23:45,25192.615,0.126,30.34486,78.796799,29608.221,0.11659531,79.991661,4.3
4/22/2018 1:45,25571.525,0.126,30.660515,78.072937,35548.086,0.0998125,79.606506,4.6
4/22/2018 3:45,25209.059,0.126,30.62562,78.826042,38459.668,0.093889922,80.009209,4.2
4/22/2018 5:45,25767.215,0.126,30.446371,78.88485,37221.371,0.087878168,80.258492,4.1
4/22/2018 7:45,25101.738,0.13,30.482958,80.971268,36798.129,0.099679157,80.539024,4.1
4/22/2018 9:45,25286.111,0.13,30.389992,79.571396,35397.707,0.097794197,80.334846,4.1
4/22/2018 11:45,25158.303,0.13,30.430353,77.552155,30079.393,0.10928471,79.58857,3.8
4/22/2018 13:45,25376.305,0.131,30.41795,78.745934,35082,0.10441381,79.79599,3.6
4/22/2018 15:45,25236.898,0.132,30.425144,78.679703,36726.574,0.10541791,80.02887,3.6
4/22/2018 17:45,25155.521,0,30.514702,78.976303,32205.355,0.096204436,79.871521,3.6
4/22/2018 18:45,24910.379,0.132,30.449028,78.562737,37715.645,0.10670246,80.060425,3.5
4/22/2018 19:45,25271.572,0.132,30.443102,79.207726,37389.059,0.096025229,80.05442,3.9
4/22/2018 21:45,25183.551,0.132,30.686504,79.379478,40896.438,0.109016927,80.372459,3.9
